"464477025,2026-07-09T10:01:01Z,1405/04/18 13:31,farid 1350,mohammadnia,quote,#فملی پس اینجا و صفحات سایر نمادها چه غ ل ط ی  می کنی ؟؟؟ فکر کردی خیلی زبلی"
"464477022,2026-07-09T10:00:58Z,1405/04/18 13:30,منصف,rostam2025,twit,#شاخص_بورس یه مشت گوس فند این مدت راه افتاده بودند می‌گفتند اینکه محا صره دریایی شدیم مهم نیست، از مرز زمینی با چین و رو سیه تجارت کنید، تنگه را نا امن نگه دارید و به جنگ با آمریکا ادامه بدید.\n\nجدای از اینکه مبادی زمینی ایران به هیچ وجه توانایی جایگزینی مبادلات دریایی را ندارند، حمله دیشب آمریکا به پل های راه آهن، باز هم آنچه هزاران بار فریاد زدیم را یادآوری کرد: هر راه حل و ایده ای به مغز کوچک شما اح مق ها برسد، خیلی وقت قبل به ذهن آمریکا و اسر ائیل رسیده است و اگر ذره ای احساس نیاز بکنند قدم های لازم را خواهند برداشت. به نظر حمله دیشب علیرغم سطح خسارت ها یک پیام محکم و هشدار برای متو همین در مراتب تصمیم گیر نظام بود."
"464477016,2026-07-09T10:00:47Z,1405/04/18 13:30,کیوان کاویانی,kavyani6420,twit,#فملی بورس رفت رو هوا"
"464477012,2026-07-09T10:00:34Z,1405/04/18 13:30,محمدحسین,haji1405,twit,#شاخص_بورس \nبازار برای اینکه از دل ما دربیاره به ما کلی بوس بدهکار هست از الانم شروع کنه به بوسیدن تا 10 سال هم نمی تونه جبران کنه 😁😅😂🤣"
"464476993,2026-07-09T09:57:37Z,1405/04/18 13:27,M.k2022,majid0123,twit,#خبهمن با توجه به سود تقسیمی امروز بهمن موتور و شرکت لیزینگ بهمن در مجموع سود اصلی سهم خبهمن به 540ریال به ازای هر سهم رسید که به احتمال زیاد 40تومن در مجمع سالیانه تقسیم خواهد شدو peسهم بعد گزارش حسابرسی شده به زیر 4خواهد آمد"
"464476969,2026-07-09T09:54:25Z,1405/04/18 13:24,بورس وان,bourse1,quote,این توییت 1 ماه پیش است که همه داشتن میگفتن توافق شده و کار تمام است. ایران وارد فرایندی از جنگ-مذاکر-جنگ‌-مذاکره ‌شده و به این زودی از این وضعیت خارج نمی‌شود. مواظب سرمایه تون باشید."
"464476961,2026-07-09T09:54:00Z,1405/04/18 13:24,بی تجربه,bitajrobe,quote,شک نکن که تجربت از من کمتره"
"464469634,2026-07-08T20:39:24Z,1405/04/18 00:09,ا.,errorerror,retwit,#شاخص_بورس \nاحتمالا دوباره از شنبه بورس به مدت چند ماه تعطیل بشه \nرویافروشان بورسی جواب این ضرر هنگفت مردم را بدهند"
"464476882,2026-07-09T09:49:39Z,1405/04/18 13:19,400k غنی شده❌ مصونیت اتمی✅,javidaniran,quote,شخصا هیچوقت نه دعوت به خرید میکنم نه فروش\n\nفقط کاری رو که انجام میدم روی سهامم اعلام میکنم\n\n\nالآنم 10 درصد نقد شدم"
"464476874,2026-07-09T09:49:30Z,1405/04/18 13:19,Ehsan.H,ehsan294,twit,#سباقر \nمنتظرم ببینم flag تایید میشه یا نه."
