"460758905,2025-12-09T06:49:32Z,1404/09/18 10:19,محمد,mo565986,twit,#شوینده   نشانه های برگشت سهم کم کم دارن ظاهر میشن"
"460758896,2025-12-09T06:49:21Z,1404/09/18 10:19,aok007,aok007,twit,#سنوین 470 تومن دوباره یه پله برداشتم جای خیلی خوبیه ..."
"460758893,2025-12-09T06:49:20Z,1404/09/18 10:19,Ali. B,ali.balaghi1399,twit,#بپیوند \nالان مرگت چیه که حرگت نمیکنی ؟؟؟؟\nهمه سهم ها رو جمع کردی کافی نیست؟؟؟"
"460758883,2025-12-09T06:49:10Z,1404/09/18 10:19,behnam mnj,behnammnj,twit,#خودرو دوستان شاخص اصلاح داره تا ۳۲۰۰ پایین میاد ⛔️⛔️⛔️"
"460758872,2025-12-09T06:48:50Z,1404/09/18 10:18,مهدی57,mhb57,twit,#پلاست فقط اومدم یه خسته نباشید بگم به اونایی قیمت سهم رو کنترل میکنن"
"460758859,2025-12-09T06:48:34Z,1404/09/18 10:18,,استاد بزرگ,ostadeghtesad,twit,#کلید \nدلار 127 هزار تومان کلید که ناوش منفی هست هر چی که بخرید سود می کنید"
"460758847,2025-12-09T06:48:32Z,1404/09/18 10:18,بی تجربه,bitajrobe,twit,#ثباغ تو صف بفروش"
"460758833,2025-12-09T06:48:18Z,1404/09/18 10:18,M.Z,mzakerinik,twit,#وشهر دارن روی 313 سفارش میچینن که بالاتر نره، همگی دست به دعا شیم 😅"
"460540903,2025-11-29T06:58:45Z,1404/09/08 10:28,Mmmm13,mmmm13,retwit,#شاخص_بورس \n سرمایه مازادتون رو تو بورس بیارید شش سال شد هنوز به پول شش سال پیش نرسیدیم چه برسه به تورم برسیم ! پشکل خریده بودیم چند برابر شده بود! \nبورس نیس سر گردنه است"
"460758825,2025-12-09T06:48:14Z,1404/09/18 10:18,مهدی عرفانی,pahlavanmehdi,twit,🌺🌺🌺🌺     #نیان کم‌کم به تارگت 9000 ریالی می‌رسد؟\n\nگفته می‌شود «بانیان» روی تابلو می‌آید و احتمالاً 16000 ریال کف قیمت خواهد بود و همین حوالی عرضه می‌شود و تارگت 2000 تومانی دارد. یعنی هفته بعد شرکتی با مارکت 2 همتی داریم و «نیان» هم از این محل 200 میلیارد تومان سود شناسایی خواهد کرد؛ یعنی حوالی 300 ریال سود به ازای هر سهم شناسایی می‌شود. سهم در 6ماهه به سود تلفیقی 586 ریالی رسیده و در 6ماهه اصلی 329 ریال بوده است. به نظر می‌رسد امسال 1200 ریال سود دارد و قیمت حوالی 9000 ریال می‌تواند متعادل شود. به نظر کم‌کم به تارگت 9000 ریالی می‌رسد.🌺"
