"460399264,2025-11-20T06:44:41Z,1404/08/29 10:14,محمد اسلامی,slam4408,twit,#پترول \n300/000تومان بگیر حتی بدون احرازهویت \nhttps://pwa.pumpgame.ir/auth?referral=n52wo2\nبا هر چند تا خط داری میتونی زیرمجموعه خودت بشی"
"460399258,2025-11-20T06:44:00Z,1404/08/29 10:14,محمد اسلامی,slam4408,twit,#ونیرو \n300/000تومان بگیر حتی بدون احرازهویت \nhttps://pwa.pumpgame.ir/auth?referral=n52wo2\nبا هر چند تا خط داری میتونی زیرمجموعه خودت بشی"
"460399237,2025-11-20T06:40:27Z,1404/08/29 10:10,رضا الف,sahoffice,twit,#رتاپ سلام. کسی از دوستان میدونه چرا تقاضا و قیمت رفتند بالا تو این چند روز؟"
"460399231,2025-11-20T06:40:09Z,1404/08/29 10:10,آقا امین,beni1397,quote,تاثیر قوی دارد خوب هم دارد،\nاین تیکشو خودت نوشتی تو متن خبر😁\nسود سازی شرکت هارو ۲۰ درصد بالاتر میبره"
"460399199,2025-11-20T06:34:24Z,1404/08/29 10:04,علی  میلانی,aligoly,twit,#خاور انشالله رشدش شروع شود. "
"460399170,2025-11-20T06:30:23Z,1404/08/29 10:00,طالب,1taleb,quote,باسلام\nلطفا از انتشار هر مطلبی بدون سند خودداری کنیم....ضمنا تا جایی که من مطلع هستم ایشون دو سال قبل بازنشسته شده و در بیمه دانا با تصمیم هیبت مدیره بصورت قراردادی مشغول بکار بودند."
"460399147,2025-11-20T06:26:54Z,1404/08/29 09:56,علی  میلانی,aligoly,twit,#سلیم بدترین سهم بازار، دست یک عده سهامدار حرفه ای و بیچاره افتاده است."
"460399118,2025-11-20T06:20:31Z,1404/08/29 09:50,بورس 8980,rea2010,quote,#دانا بذار مدیرعامل جدید خارج از دار و دسته جعفری بیاد اون وقت بفهمی عملکرد مدیرعامل چه قدر میتونه باعث رشد  قیمت سهم باشه"
"460218575,2025-11-10T07:06:47Z,1404/08/19 10:36,یوز پلنگ آسیایی,yaemamreza2,retwit,#شاخص_بورس \n\nفرار پول از سقف اردیبهشت ۴۰۴ را در داده اختصاصی پلنگ مشاهده میفرمایید که به شدت شارپ بود که انگار پولها می‌دونستن میخاد جنگ بشه\nسپس در عدد ۲/۳۹۰ میلیون یه توقف کوچک میکنن پولها خروجی و سپس شاخص در کادر قرمز ۸۵۰ هزار واحد رشد میکنه ولی ورود پول با اون رشد واگرایی منفی داره و رمقی نداره\nحالا مجدد با آغاز اولین منفیها دوباره پولها در حال خروج هستن\nحال این داده آماری رو بزار کنار اون خبرهایی که هر روز تو بازار مثبت میگفتن فلان میلیارد پول حقیقی وارد بازار شده و کلی خبر و مصاحبه فلان فلان\n\nپلنگ/گیلان\n۱۹ آبان ۱۴۰۴"
"460399101,2025-11-20T06:14:48Z,1404/08/29 09:44,مالک اشتر,marcovich,twit,#لپیام \nاگر در سهم این مدت فروشنده بودید بروید کد بورسی تان باطل کنید\nمارکت سهم:۷۰۰ میلیارد\nارزش روز بالغ بر ۵ همت…\nطلای ناب بازار سرمایه"
